IdAudio;Izena;iraupena;irudia;mota;mp3
55;Lo ves?;4.22;LoVes.jpg;Abestia;mp3 datuak hemen
56;Si hay Dios;5.02;SiHayDios.jpg;Abestia;mp3 datuak hemen
57;Como te echo de menos;4.55;ComoTeEchoDeMenos.jpg;Abestia;mp3 datuak hemen
58;¿Lo ves? [Piano y voz];3.44;LoVesPianoYVoz.jpg;Abestia;mp3 datuak hemen
59;El Beso;4.19;ElBeso.jpg;Abestia;mp3 datuak hemen
60;Tanto;4.33;Tanto.jpg;Abestia;mp3 datuak hemen
61;La Cosa Pequeña;4.05;LaCosaPequena.jpg;Abestia;mp3 datuak hemen
62;Quién;4.40;Quien.jpg;Abestia;mp3 datuak hemen
63;Culpable;3.53;Culpable.jpg;Abestia;mp3 datuak hemen
64;Dónde está el amor;3.40;DondeEstaElAmor.jpg;Abestia;mp3 datuak hemen
65;Duerme;3.35;Duerme.jpg;Abestia;mp3 datuak hemen
66;Extasis;4.02;Extasis.jpg;Abestia;mp3 datuak hemen
67;Ladrona de Mi Piel;4.21;LadronaDeMiPiel.jpg;Abestia;mp3 datuak hemen
68;Lloro por Ti;3.48;LloroPorTi.jpg;Abestia;mp3 datuak hemen
69;Me Iré;4.27;MeIre.jpg;Abestia;mp3 datuak hemen
70;Menos Tu Amor;3.58;MenosTuAmor.jpg;Abestia;mp3 datuak hemen
71;Perdóname;3.54;Perdoname.jpg;Abestia;mp3 datuak hemen
72;Virginia Beach;4.12;VirginiaBeach.jpg;Abestia;mp3 datuak hemen
73;Survival;3.25;Survival.jpg;Abestia;mp3 datuak hemen
74;Forever;5.57;Forever.jpg;Abestia;mp3 datuak hemen
75;Jumpman;3.26;Jumpman.jpg;Abestia;mp3 datuak hemen
76;Too Good;4.23;TooGood.jpg;Abestia;mp3 datuak hemen
77;Pop Style;3.21;PopStyle.jpg;Abestia;mp3 datuak hemen
78;One Dance;2.54;OneDance.jpg;Abestia;mp3 datuak hemen
79;Controlla;4.05;Controlla.jpg;Abestia;mp3 datuak hemen
80;Hotline Bling;4.27;HotlineBling.jpg;Abestia;mp3 datuak hemen
81;Know Yourself;4.35;KnowYourself.jpg;Abestia;mp3 datuak hemen
82;Energy;3.01;Energy.jpg;Abestia;mp3 datuak hemen
83;Legend;4.01;Legend.jpg;Abestia;mp3 datuak hemen
84;Started From the Bottom;3.04;StartedFromtheBottom.jpg;Abestia;mp3 datuak hemen
85;Over My Dead Body;4.32;OverMyDeadBody.jpg;Abestia;mp3 datuak hemen
86;Headlines;3.55;Headlines.jpg;Abestia;mp3 datuak hemen
87;Take Care;4.37;TakeCare.jpg;Abestia;mp3 datuak hemen
88;Crew Love;3.29;CrewLove.jpg;Abestia;mp3 datuak hemen
89;Buleria;4.12;Buleria.jpg;Abestia;mp3 datuak hemen
90;Intro;2.12;Intro.jpg;Abestia;mp3 datuak hemen
91;Bailando;3.52;Bailando.jpg;Abestia;mp3 datuak hemen
92;Sevillanas;3.33;Sevillanas.jpg;Abestia;mp3 datuak hemen
93;Rumba;4.05;Rumba.jpg;Abestia;mp3 datuak hemen
94;Flamenco;3.48;Flamenco.jpg;Abestia;mp3 datuak hemen
95;Soleá;4.20;Solea.jpg;Abestia;mp3 datuak hemen
96;Tanguillo;3.40;Tanguillo.jpg;Abestia;mp3 datuak hemen
97;Fandango;3.59;Fandango.jpg;Abestia;mp3 datuak hemen
98;Farruca;4.15;Farruca.jpg;Abestia;mp3 datuak hemen
99;Alegrias;3.30;Alegrias.jpg;Abestia;mp3 datuak hemen
100;Zapateado;3.45;Zapateado.jpg;Abestia;mp3 datuak hemen
101;Guajiras;4.02;Guajiras.jpg;Abestia;mp3 datuak hemen
102;Bulerias por Soleá;4.10;BuleriasporSolea.jpg;Abestia;mp3 datuak hemen
103;Malagueñas;3.55;Malaguenas.jpg;Abestia;mp3 datuak hemen
104;Tangos;4.25;Tangos.jpg;Abestia;mp3 datuak hemen
105;Tientos;3.38;Tientos.jpg;Abestia;mp3 datuak hemen
106;Curtains Up;0.47;Curtains Up.jpg;Abestia;mp3 datuak hemen
107;Evil Deeds;4.19;Evil Deeds.jpg;Abestia;mp3 datuak hemen
108;Never Enough;2.39;Never Enough.jpg;Abestia;mp3 datuak hemen
109;Yellow Brick Road;5.47;Yellow Brick Road.jpg;Abestia;mp3 datuak hemen
110;Like Toy Soldiers;4.56;Like Toy Soldiers.jpg;Abestia;mp3 datuak hemen
111;Mosh;5.17;Mosh.jpg;Abestia;mp3 datuak hemen
112;Puke;4.08;Puke.jpg;Abestia;mp3 datuak hemen
113;My 1st Single;5.02;My 1st Single.jpg;Abestia;mp3 datuak hemen
114;Paul (Skit);0.32;Paul (Skit).jpg;Abestia;mp3 datuak hemen
115;Rain Man;5.13;Rain Man.jpg;Abestia;mp3 datuak hemen
116;Big Weenie;4.26;Big Weenie.jpg;Abestia;mp3 datuak hemen
117;Em Calls Paul (Skit);1.11;Em Calls Paul (Skit).jpg;Abestia;mp3 datuak hemen
118;Just Lose It;4.08;Just Lose It.jpg;Abestia;mp3 datuak hemen
119;Ass Like That;4.25;Ass Like That.jpg;Abestia;mp3 datuak hemen
120;Spend Some Time;5.10;Spend Some Time.jpg;Abestia;mp3 datuak hemen
121;Mockingbird;4.11;Mockingbird.jpg;Abestia;mp3 datuak hemen
122;Crazy in Love;4.02;Crazy in Love.jpg;Abestia;mp3 datuak hemen
123;Square One;4.47;SquareOne.jpg;Abestia;mp3 datuak hemen
124;Vertigo;4.58;Vertigo.jpg;Abestia;mp3 datuak hemen
125;White Shadows;5.28;WhiteShadows.jpg;Abestia;mp3 datuak hemen
126;Fix You;4.54;FixYou.jpg;Abestia;mp3 datuak hemen
127;Talk;5.11;Talk.jpg;Abestia;mp3 datuak hemen
128;X&Y;4.33;XY.jpg;Abestia;mp3 datuak hemen
129;Speed of Sound;4.48;SpeedofSound.jpg;Abestia;mp3 datuak hemen
130;A Message;4.45;AMessage.jpg;Abestia;mp3 datuak hemen
131;Low;5.32;Low.jpg;Abestia;mp3 datuak hemen
132;The Hardest Part;4.25;TheHardestPart.jpg;Abestia;mp3 datuak hemen
133;Swallowed in the Sea;3.58;SwallowedintheSea.jpg;Abestia;mp3 datuak hemen
134;Twisted Logic;5.01;TwistedLogic.jpg;Abestia;mp3 datuak hemen
135;Atrapado;3.39;Atrapado.jpg;Abestia;mp3 datuak hemen
136;Fuego;3.55;Fuego.jpg;Abestia;mp3 datuak hemen
137;Despertar;4.12;Despertar.jpg;Abestia;mp3 datuak hemen
138;Ardiendo;3.48;Ardiendo.jpg;Abestia;mp3 datuak hemen
139;Llamas;4.02;Llamas.jpg;Abestia;mp3 datuak hemen
140;Incendio;4.20;Incendio.jpg;Abestia;mp3 datuak hemen
141;Calor;3.29;Calor.jpg;Abestia;mp3 datuak hemen
142;Inferno;4.01;Inferno.jpg;Abestia;mp3 datuak hemen
143;Brasas;3.45;Brasas.jpg;Abestia;mp3 datuak hemen
144;Resplandor;3.58;Resplandor.jpg;Abestia;mp3 datuak hemen
145;Cenizas;4.10;Cenizas.jpg;Abestia;mp3 datuak hemen
